Ball#,Pin Name,Signal Name,Function,Ball Reset Rel. Function,Type,Ball Reset State,Pull Up/Down,Buffer Strength,(mA),Power Supply
B20,PD2,Input,0,Function7,I,Z,PU/PD,20,VCC-PD,
,,Output,1,O,,,,,,
,,"RGMII_RXD1/
MII_RXD1/
RMII_RXD1",2,I,,,,,,
,,Reserved,3,NA,,,,,,
,,TS2_SYNC,4,I,,,,,,
,,Reserved,5,NA,,,,,,
,,Reserved,6,NA,,,,,,
,,IO Disable,7,OFF,,,,,,
H18,PD3,Input,0,Function7,I,Z,PU/PD,20,VCC-PD,
,,Output,1,O,,,,,,
,,"RGMII_RXD0/
MII_RXD0/
RMII_RXD0",2,I,,,,,,
,,Reserved,3,NA,,,,,,
,,TS2_DVLD,4,I,,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,NA,,,,,,
,,IO Disable,7,OFF,,,,,,
A20,PD4,Input,0,Function7,I,Z,PU/PD,20,VCC-PD,
,,Output,1,O,,,,,,
,,"RGMII_RXCK/
MII_RXCK/
RMII_NULL",2,I,,,,,,
,,Reserved,3,NA,,,,,,
,,TS2_D0,4,I,,,,,,
,,Reserved,5,NA,,,,,,
,,Reserved,6,NA,,,,,,
,,IO Disable,7,OFF,,,,,,
F19,PD5,Input,0,Function7,I,Z,PU/PD,20,VCC-PD,
,,Output,1,O,,,,,,
,,"RGMII_RXCTL/
MII_RXDV/
RMII_CRS_DV",2,I,,,,,,
,,Reserved,3,NA,,,,,,
,,TS2_D1,4,I,,,,,,
,,Reserved,5,NA,,,,,,
,,Reserved,6,NA,,,,,,
,,IO Disable,7,OFF,,,,,,
B21,PD6,Input,0,Function7,I,Z,PU/PD,20,VCC-PD,
,,Output,1,O,,,,,,
,,"RGMII_NULL/
MII_RXERR/
RMII_RXER",2,I,,,,,,
,,Reserved,3,NA,,,,,,
,,TS2_D2,4,I,,,,,,
,,Reserved,5,NA,,,,,,
,,Reserved,6,NA,,,,,,
,,IO Disable,7,OFF,,,,,,
E18,PD7,Input,0,Function7,I,Z,PU/PD,20,VCC-PD,
,,Output,1,O,,,,,,
,,"RGMII_TXD3/
MII_TXD3/
RMII_NULL",2,O,,,,,,
,,Reserved,3,NA,,,,,,
,,TS2_D3,4,I,,,,,,
,,TS3_CLK,5,I,,,,,,
,,Reserved,6,NA,,,,,,
,,IO Disable,7,OFF,,,,,,
E20,PD8,Input,0,Function7,I,Z,PU/PD,20,VCC-PD,
,,Output,1,O,,,,,,
,,"RGMII_TXD2/
MII_TXD2/
RMII_NULL",2,O,,,,,,
,,Reserved,3,NA,,,,,,
,,TS2_D4,4,I,,,,,,
,,TS3_ERR,5,I,,,,,,
,,Reserved,6,NA,,,,,,
,,IO Disable,7,OFF,,,,,,
F21,PD9,Input,0,Function7,I,Z,PU/PD,20,VCC-PD,
,,Output,1,O,,,,,,
,,"RGMII_TXD1/
MII_TXD1/
RMII_TXD1",2,O,,,,,,
,,Reserved,3,NA,,,,,,
,,TS2_D5,4,I,,,,,,
,,TS3_SYNC,5,i,,,,,,
,,Reserved,6,NA,,,,,,
,,IO Disable,7,OFF,,,,,,
H19,PD10,Input,0,Function7,I,Z,PU/PD,20,VCC-PD,
,,Output,1,O,,,,,,
